flight,city
AA3,Auckland
AA83,Auckland
CX2190,Auckland
EK10,Auckland
EK2,Auckland
EK412,Christchurch
EK448,Auckland
EK450,Auckland
EK5047,Wellington
EK5121,Queenstown
EK52,Auckland
EK6,Auckland
EK68,Auckland
EL342,Auckland
EY4689,Auckland
GB615,Auckland
JQ233,Auckland
JQ253,Auckland
JQ27,Auckland
JQ278,Queenstown
JQ285,Auckland
JQ295,Auckland
JQZ217,Auckland
LA801,Auckland
MH133,Auckland
NZ1,Auckland
NZ102,Auckland
NZ112,Auckland
NZ23,Auckland
NZ241,Auckland
NZ283,Auckland
NZ29,Auckland
NZ407,Auckland
NZ409,Auckland
NZ411,Auckland
NZ413,Auckland
NZ421,Auckland
NZ425,Auckland
NZ429,Auckland
NZ433,Auckland
NZ441,Auckland
NZ443,Auckland
NZ449,Auckland
NZ457,Auckland
NZ5,Auckland
NZ5005,Auckland
NZ5019,Auckland
NZ5027,Auckland
NZ5065,Auckland
NZ5069,Auckland
NZ5071,Auckland
NZ5107,Auckland
NZ5115,Auckland
NZ5180,Auckland
NZ523,Auckland
NZ527,Auckland
NZ535,Auckland
NZ5374,Wellington
NZ541,Auckland
NZ5823,Wellington
NZ6067,Auckland
NZ615,Auckland
NZ619,Auckland
NZ623,Auckland
NZ625,Auckland
NZ627,Auckland
NZ639,Auckland
NZ6707,Auckland
NZ671,Auckland
NZ675,Auckland
NZ677,Auckland
NZ7,Auckland
NZ8,Auckland
NZ8041,Auckland
NZ8141,Auckland
NZ8149,Auckland
NZ8155,Auckland
NZ8161,Auckland
NZ8205,Auckland
NZ8321,Wellington
NZ838,Queenstown
NZ842,Wellington
NZ8857,Christchurch
NZ8872,Wellington
PR218,Auckland
QF1033,Christchurch
QF13,Auckland
QF133,Christchurch
QF139,Christchurch
QF141,Auckland
QF143,Auckland
QF161,Wellington
QF171,Wellington
QR920,Auckland
QS151,Auckland
SQ247,Wellington
SQ281,Auckland
SQ285,Auckland
SQ297,Christchurch
TG917,Auckland
UA0917,Auckland
UA559,Auckland
VA0097,Christchurch
VA145,Auckland
VA171,Wellington
WL241,Auckland